symbol	TCGA-91-6840	TCGA-78-8655	TCGA-NJ-A7XG	TCGA-38-4625	TCGA-38-4627	TCGA-85-A4QQ	TCGA-56-8628	TCGA-63-A5M9	TCGA-77-8128	TCGA-34-5231
FAM214B	470	1665	1534	2512	1236	1510	1215	1200	3043	894
COPZ2	172	521	617	916	3275	2488	662	228	1699	718
PRKAR2B	195	482	2872	193	914	2052	321	1015	220	448
MSL3	1042	1122	656	3339	2023	1417	1848	1261	1128	1938
CREBBP	4836	4282	5264	6407	4049	5035	7634	13019	9180	19847
TSPOAP1	523	1970	2862	1984	486	226	1048	180	528	335
MPO	5	11	1	650	47	2	18	7	3	20
PON1	6	36	330	8	13	30	12	29	0	2
GCFC2	631	697	647	2522	901	1109	651	2273	1019	3667
WDR54	721	185	757	1536	1192	1930	676	2750	1888	1294
CROT	1025	931	540	1371	1630	1086	1242	570	672	1454
ABCB4	22	84	98	47	192	18	59	36	23	129
KMT2E	2423	3419	4803	4549	2727	3174	4432	2817	3599	12157
RHBDD2	1761	5822	8495	10590	7886	8272	7993	6047	6926	7470
SOX8	55	17	183	20	59	15	55	16	17	64
IBTK	2246	2498	4266	10724	3822	2297	1848	3578	1696	3672
ZNF195	1066	1315	1026	1597	887	408	593	1435	920	1653
MYCBP2	1332	1360	1784	4792	2318	3127	2444	3638	5547	8009
FBXL3	855	1793	1611	3593	5331	2657	1462	2303	2147	4746
ITGAL	1109	1404	318	1822	1529	343	1890	1090	187	2205
PDK2	732	1085	1424	2211	1382	728	835	736	1209	3279
ITGA3	6254	37407	41218	53629	14235	38555	8685	6137	7034	19630
ZFX	1794	1296	701	2847	1787	887	1547	2273	1616	4945
LAMP2	8230	9075	6897	33541	21671	23184	12869	22736	20342	18017
ITGA2B	104	37	43	130	52	52	88	262	59	375
ASB4	16	23	26	20	84	21	86	13	5	7
GDE1	4105	4967	8325	18000	9394	3357	4564	6653	4399	5502
C19orf60	617	824	1144	1655	1321	1906	708	1817	1129	4650
CRLF1	10632	338	399	160	4310	1204	202	396	286	1881
OSBPL7	429	719	1949	815	511	286	725	964	329	941
TMEM98	3750	3036	6251	11754	18264	696	2633	4242	4407	7417
YBX2	515	3	20	1912	10	231	191	105	134	154
KRT33A	0	0	0	0	0	2	40	1	10	3
MAP3K14	439	583	443	1051	250	734	990	832	372	1160
ABCC8	229	18	1	29	21	0	15	6	115	4
CACNG3	0	0	1	17	1	0	0	0	0	0
TMEM132A	1855	3607	1802	13789	4057	14964	6492	3324	5454	8626
AP2B1	6798	5729	11322	50042	17447	7225	6966	18933	10690	36750
TAC1	0	0	0	0	0	7	0	719	0	0
ZNF263	889	1008	1906	3189	1749	1512	1230	3644	1603	4520
CX3CL1	1628	7240	14165	1013	13143	2231	4137	15609	2632	1674
SPATA20	3071	4784	5021	6823	3681	3032	3084	5044	2287	4671
CACNA1G	42	25	29	47	39	12	25	21	15	75
TNFRSF12A	2479	6180	10171	23114	7774	7869	3688	2114	1575	1030
DLX6	64	0	19	1	7	357	359	395	1456	279
MAP3K9	938	489	2959	1025	477	375	1022	841	740	1198
RALA	1277	2300	2234	9327	6677	6075	3532	3410	3749	10510
BAIAP2L1	1333	4520	6923	8085	2948	4823	2414	2937	2819	8165
KDM7A	583	1877	2521	2466	1759	2304	1267	536	1855	2611
ETV1	258	8831	7262	1225	7575	105	2036	6415	3861	7130
AGK	923	1066	1311	5176	1388	1781	1544	1733	2287	5169
ALDH3B1	593	1634	6237	1765	2733	642	1633	329	298	884
TTC22	345	1338	989	1834	366	2145	776	1531	1740	1558
PHTF2	1149	1057	959	2637	3042	1581	1064	2046	1953	6598
CCL26	3	3	4	127	40	46	25	116	58	10
FARP2	1439	800	1661	2154	1705	1875	1584	1802	3639	4038
USH1C	162	72	2	147	10	8	386	44	685	2123
GGCT	527	3345	3112	7441	1639	4319	1050	7213	4815	9415
DBF4	276	376	288	2910	488	1875	400	925	1060	3878
TBXA2R	114	110	82	612	407	23	189	46	109	144
IFRD1	689	1346	2453	6316	1228	1015	1466	3544	1151	4491
LGALS14	0	0	0	0	0	0	1	9	0	0
COX10	439	551	1044	1356	653	328	380	1522	763	1606
GTF2IRD1	660	977	2482	4423	2219	3634	1666	1586	3623	5542
PAF1	2180	1987	3426	5151	3479	2539	2709	11395	5483	8177
VPS41	1309	2707	3223	4136	4187	3420	2776	3432	2358	12858
ARHGAP44	755	880	3233	2700	1635	130	692	1209	187	577
ELAC2	1562	2578	4200	8174	3433	6330	1946	5284	2782	7274
SCIN	363	2076	3920	289	1909	60	123	1426	1886	341
ARSD	1515	8357	4214	4316	4541	1111	2416	368	2761	1554
PNPLA4	515	705	346	3091	861	830	565	820	865	1894
MYH13	19	2	0	2	18	3	2	51	8	4
ADIPOR2	1631	2097	3590	9751	3441	5919	3936	14675	8986	18242
CDKL3	25	17	107	79	53	59	43	26	41	53
UPP2	0	0	9	2	16	4	45	5	4	1
PRSS21	3	118	2	47	544	121	1542	5	2400	2679
MARK4	1802	1154	1671	4494	1496	3334	2501	4239	1937	6597
PROM1	8072	797	2515	12	1973	684	74	81	28	469
CCDC124	1479	1772	2954	11624	2961	5235	1980	4635	2955	8147
CEACAM21	92	130	245	115	278	22	58	572	18	92
PAFAH1B1	3349	3657	6490	10195	9924	7247	5258	6457	6415	11326
NOS2	24	78	80	50	166	13	517	37	529	6197
DNAH9	17	6	16	19	435	381	169	36	86	553
KIAA0100	3606	2831	7745	13952	10969	3352	4526	8398	5453	15555
SLC13A2	45	2	0	65	55	24	3	1	3	55
GAS7	927	841	414	2347	3884	598	1911	1353	1071	1641
TRAPPC6A	853	742	931	1348	1170	656	709	2462	833	435
MATK	153	147	84	156	418	80	333	104	83	338
CEACAM7	185	14	9	6	32	5	2	5	6	2
CD79B	188	178	43	763	348	51	316	147	35	441
SCN4A	51	10	1	15	96	0	12	1	9	38
ST7L	344	405	542	881	724	926	408	450	462	758
TKTL1	36	0	0	2	10	2	113	0	4	7
PAX6	23	37	25	177	118	66	527	2166	1214	2093
RPUSD1	674	858	1308	5510	1257	1323	982	1523	2403	3046
RHBDF1	1884	1655	4925	1980	2338	2891	1732	1480	1732	1996
LUC7L	1386	1386	5147	5702	782	1967	2042	2660	1494	2098
CACNA2D2	1734	813	11055	2328	407	62	1639	236	159	509
BAIAP3	80	786	585	1151	735	1039	745	184	168	1033
TSR3	918	1591	2998	5240	3731	4022	1452	3487	2648	4381
PIGQ	1062	2420	5152	6268	2962	3347	2815	2813	2483	5122
CRAMP1	480	614	1700	1292	542	1509	1375	1967	1146	1927
TEAD3	8382	3249	5259	2025	2409	3664	4886	3399	3220	4175
SELE	42	31	33	561	180	141	193	70	19	963
DNAJC11	1168	542	1225	3069	1108	2423	1171	2083	1419	3197
FMO3	184	221	112	489	3387	31	346	377	339	457
MYLIP	2361	1768	1467	6101	1925	388	1800	3344	3011	25425
NOX1	17	222	204	111	203	46	25	124	56	141
E2F2	296	82	37	825	88	880	460	670	1054	1943
PSMB1	4283	2929	6469	16903	8855	10160	4686	8579	8214	9402
SYN1	69	34	16	38	172	25	313	32	108	197
JARID2	1210	1212	1543	1672	751	3391	2527	4819	2402	3494
CDKL5	926	636	641	858	925	390	908	865	713	1981
CAMK1G	22	25	10	237	115	15	89	44	12	92
CDK11A	288	172	211	245	130	717	469	475	187	346
NADK	1435	1374	3108	5129	3709	2883	2728	3361	2323	5309
TFAP2B	1	21	140	0	0	0	67	82	34	3
TFAP2D	0	457	160	0	104	0	19	0	76	2
DLEC1	219	32	329	81	97	471	280	889	1111	2885
CYTH3	1234	7193	2417	2647	7193	2627	1618	2664	2560	6227
ADAM22	69	295	261	261	886	20	150	276	104	1674
SYPL1	3768	4399	5226	18328	9221	10235	4407	4608	8562	13812
CYB561	2366	8193	10761	10218	8295	5006	2713	4323	4636	12091
SPAG9	2978	3475	7849	8156	5099	5616	2887	6092	4512	14137
CELSR3	249	856	496	655	106	144	320	392	395	2282
AASS	446	147	1173	676	292	61	1873	816	837	2611
PLEKHG6	536	604	820	133	332	971	1202	1761	1784	785
SS18L2	335	422	696	1801	676	562	388	625	750	867
MPND	534	885	1143	4183	1162	994	699	847	714	3548
MGST1	1642	9895	11568	48577	8758	667	1905	521	394	8056
CRY1	816	690	547	1918	1356	613	1223	1215	1509	3227
PGLYRP1	7	1	0	7	3	0	15	13	0	5
NFIX	983	4602	3931	7221	7694	959	4617	1724	4165	18678
ST3GAL1	1379	1763	10716	2605	3615	7555	2375	15552	3258	6388
MMP25	109	103	79	293	90	54	157	222	45	206
IL32	1629	2877	900	2171	7601	1079	2864	1853	1267	10118
PKD1	2140	2029	4195	1841	2713	5265	5858	3970	3421	7218
MAPK8IP2	69	137	129	7047	43	43	52	66	539	1307
MED24	2382	2152	4088	10908	3561	3457	2646	5922	3620	6726
RHOBTB2	2491	3285	22836	2810	2403	327	3055	954	484	982
HEATR5B	880	1123	1590	2246	1092	1978	1753	2110	1648	4903
SEC62	5614	7493	6930	11352	15002	8809	5933	24000	8558	15706
RPS20	21477	29020	59631	111914	62778	111909	20025	35291	41073	126042
CSDE1	15301	24413	17613	36396	41758	48267	22867	12431	15193	36077
UBE3C	2084	3382	3716	14456	7483	6922	4318	4495	7714	18462
REV3L	1706	498	1175	2269	760	536	1512	3674	1432	3651
TENM1	35	15	44	279	97	12	1350	169	71	3746
PAX7	0	8	2820	2	1328	3	28	0	0	47
MASP2	38	24	74	34	7	55	89	17	40	56
IYD	251	21	359	25	178	8	46	5	16	26
FAM76A	455	272	665	1337	815	1343	711	418	568	1106
TRAF3IP3	275	348	106	599	365	268	629	332	74	540
POMT2	669	1005	1285	740	1720	2709	1416	1769	1121	2724
VTA1	2050	612	767	8981	3808	2701	1846	3116	2936	4800
MLXIPL	100	161	63	152	53	26	243	372	219	220
BAZ1B	2522	4250	4521	13050	4659	6132	4352	5753	8693	17747
RANBP9	1567	2940	4232	6359	3580	1621	2460	4114	2420	6524
ETV7	261	634	530	2225	535	165	367	303	230	611
SPRTN	509	431	545	1627	777	607	377	1092	1807	3364
METTL13	942	2083	2120	7337	2922	1477	1213	3614	2951	6888
DYRK4	168	669	904	3013	1122	407	585	990	1010	2460
ZNF207	5788	5117	8345	13029	8113	9237	4984	10498	7627	18580
UQCRC1	3143	4759	6106	23483	8133	11419	4713	9451	9594	18119
STARD3NL	707	1236	1329	4863	3549	1258	1164	1855	486	3583
CD9	3363	8649	16096	34726	27059	31638	57869	74970	62701	59500
HHATL	1	121	2	1	7	25	9	2	1	4
NCAPD2	2866	2023	2044	12903	3276	7063	5703	21172	18037	25850
IFFO1	286	394	183	672	1067	193	647	556	333	788
GIPR	361	238	1477	86	29	227	161	92	10	118
PHF7	45	72	241	400	110	192	142	149	324	226
SEMA3G	707	403	194	175	590	56	1131	341	230	2622
NISCH	2212	2267	6085	5054	3849	2742	4945	4948	3282	5587
STAB1	1788	2165	610	9085	9520	928	7413	3287	1131	3716
FUZ	518	406	803	1118	1446	147	933	1421	532	1034
SLC6A13	16	6	6	6	5	14	48	27	5	6
IDS	2512	6788	8672	16135	17091	6698	8622	9409	8622	21162
PRSS3	1	1	3	36	25	2512	2	1	575	82
ZNF200	583	426	278	1619	579	534	521	1052	627	1539
CD4	2936	4398	1111	8849	12765	973	6195	2943	735	6844
LRRC23	315	310	912	509	898	863	361	834	618	1209
BTK	215	456	143	1205	954	135	675	382	90	505
HFE	540	1663	1334	4070	1096	393	993	1518	473	3001
SCMH1	816	1316	1731	2512	1535	1661	1651	1125	1066	2953
FYN	2280	1183	1003	1599	2650	1248	3366	3015	2566	1612
HIVEP2	1170	926	1493	3927	2825	878	2807	1876	3024	5956
FMO1	33	25	9	465	952	49	142	996	215	212
TCEB3	2110	1603	2920	5755	2668	3303	2903	3302	2350	4903
LYPLA2	2457	2648	4488	5782	3483	6239	3948	2822	2624	3906
CLCN6	1030	354	1239	923	554	1368	1329	937	596	1632
MRC2	1430	2962	9935	4858	28460	10333	7893	4888	7132	6123
NME1-NME2	23	56	42	571	36	62	62	93	50	185
SLC6A7	6	4	1	24	7	45	22	11	0	2
TSPAN9	1313	2657	2039	2341	8886	1388	4749	3070	3600	12252
BTBD7	2408	1151	1527	3345	2634	2713	2811	4944	2174	4655
APBA3	320	598	772	2458	1058	1128	994	991	737	3649
MKS1	547	1071	985	1629	856	738	616	1407	869	2351
ABHD5	329	680	630	3115	1218	903	436	826	1010	1859
ANOS1	1505	2746	338	3368	2257	48	2065	634	434	420
AKAP8L	2319	1573	2484	4366	961	2722	2066	4475	1925	4410
MBTD1	1251	1175	1317	1409	681	868	908	2228	1599	2018
UTP18	1277	981	1420	7774	1981	1786	853	3010	2003	7428
RNF216	1143	3187	2147	4249	3615	3345	3356	4321	3507	11526
TTC19	1219	2173	3606	5191	1719	830	1366	2499	1403	2387
PTBP1	8035	10773	14415	34823	11453	21045	14399	20402	20004	43673
DPF1	94	9	18	69	16	88	15	447	122	237
SYT7	2370	551	1462	1626	644	10306	881	228	455	729
LARS2	821	722	792	2744	1127	587	602	1627	1130	1915
PIK3C2A	2740	1622	2694	5918	2985	1141	2169	2779	2800	4860
PLAUR	512	2926	1821	13620	6127	3940	2340	1839	1326	2402
ANLN	1572	1027	249	13000	1112	6086	1804	3477	4757	17129
WIZ	1401	2016	2432	4264	2018	4015	2642	6018	4472	9631
RABGAP1	4564	1640	3452	4007	3077	3333	2845	1922	4196	6593
DCN	3183	8733	2863	31232	162660	1765	16018	17788	22790	21401
QPCTL	344	371	893	3182	236	393	626	931	386	1643
PPP5C	2726	1950	3506	5272	2628	3287	3367	7684	2942	10242
CEP68	918	991	1090	1551	2451	1507	2198	3213	1413	3028
MAP4K3	1044	1505	1696	5390	2862	1531	2139	4850	1931	4202
ZBTB32	42	20	21	88	8	30	85	68	20	85
TYROBP	1105	4401	664	9483	9573	759	3448	1835	672	2664
TMEM159	950	3110	7331	2847	6271	5904	1551	2168	2390	6672
GABRA3	698	0	0	17	107	140	1036	1067	184	968
BRCA1	502	200	262	3010	385	893	409	3173	2165	6251
ERCC1	1360	1725	1751	7494	3548	3227	2250	4313	2127	9793
CD22	957	328	89	633	249	73	465	317	48	297
SEMA3B	2474	601	1528	12163	688	323	1512	281	236	684
MBTPS2	1372	708	400	5531	2183	768	1004	1370	1643	4657
PRICKLE3	529	444	468	2045	550	1338	940	902	2071	4042
LTF	429	1820	318	2628	18006	11756	6519	1380	18	9820
EXTL3	1355	1734	3726	3611	4403	3106	2716	2817	2432	5866
NR1H4	94	2	2	3	3	0	87	0	0	4
ELOVL5	2405	1964	3331	23752	11470	3292	5989	9906	4444	8787
ALOX5	413	2475	1545	2293	2205	525	2093	1168	274	792
KDM5D	0	6	1734	0	0	2116	1353	1	246	2290
CALCOCO1	1587	2242	5700	3963	4689	2732	4714	2707	2522	2673
UBR7	1350	1476	1481	5419	4237	2132	1525	4907	2176	5703
MAP4K5	2449	1370	1728	2935	3255	3389	2087	2379	2544	7908
EHD3	311	408	451	1851	3480	672	1046	1302	1225	3149
PSMC4	3875	3046	3406	11220	5017	5772	3595	17030	23334	8975
MAN2B2	1572	3808	4631	6947	5726	3120	5645	7326	1652	4388
SLC7A14	0	0	0	0	4	1	3	4	0	3
CLDN11	112	107	79	131	1351	42	448	207	221	93
SLC25A39	4264	5861	8878	31369	8787	13705	4047	12518	9478	23929
MVP	3580	15379	49091	52372	25066	17780	12026	5433	4057	8592
NUB1	1921	3302	3590	11574	5353	2995	2843	2336	3099	6306
PGM3	1305	1949	2113	10424	3235	2165	2516	8161	2167	3180
RWDD2A	192	410	361	1240	658	177	434	744	202	438
CLK1	2150	1858	6109	2739	2538	6881	3536	5413	1579	2579
POLR3B	832	439	444	2729	695	710	728	584	751	4138
ANGEL1	1275	650	1135	1087	1814	904	1308	3741	862	3052
RNF14	786	1414	2987	4757	3963	2689	1421	1927	1267	3312
DNASE1L1	665	1220	1836	2631	2165	2022	1388	931	1059	1721
DDX11	609	326	818	3115	302	2638	1642	4019	1993	4593
HEBP1	1109	1725	2255	4935	3343	1229	1165	2026	2137	3519
GPRC5A	8316	13344	72210	27976	8955	763	10650	1767	1487	1660
MAMLD1	169	414	701	130	409	578	419	195	757	134
CD6	533	592	250	1018	659	307	858	480	85	634
TACC3	1355	1085	831	7368	1351	3047	2435	7547	3722	7904
UFL1	1329	1132	2384	4601	2649	1510	1865	2352	1804	2596
POLA2	421	468	751	1848	941	1012	1251	1692	2482	7882
ZC3H3	1572	1276	1747	5360	1026	3996	2038	1492	2544	6208
CAPN1	7173	11142	24176	22912	22738	29808	15612	11771	19152	51067
ACPP	422	175	454	1868	295	277	1465	657	630	82
MDH1	3023	3244	4075	16762	6920	7492	4723	17429	6599	14452
SLC30A9	1816	1809	3683	7319	4366	2378	2450	6143	2223	4577
MTMR11	368	588	2001	3056	1966	914	799	725	591	1909
COX15	942	1214	2004	4764	2408	1215	942	2143	2262	4112
CCDC88C	3694	1355	2021	3167	689	3759	3170	2758	5082	17705
YAF2	681	554	361	1910	1060	532	647	915	910	1044
ZMYND11	1544	1028	4518	9672	4626	2567	4397	1796	3681	9700
WAS	387	735	182	1525	997	231	1128	485	155	842
DPEP1	87	73	7	257	684	8	177	10	97	196
BID	1713	1574	1876	6540	3006	1789	1443	4684	3490	7531
MATR3	183	83	444	558	181	277	271	447	168	444
NPC1L1	52	3	5	98	18	32	14	8	9	392
XYLT2	3013	3376	3190	4230	2457	4223	1962	5771	4456	7625
RGPD5	0	0	0	2	0	0	1	1	0	1
STMN4	1	0	5	0	1	9	2	1	4	8
NUDCD3	1331	4263	4440	13787	9192	7099	2536	3815	4564	19664
ISL1	0	44	17	0	10	121	0	11	2	197
CHDH	208	590	1388	1672	443	28	213	58	335	261
IL20RA	38	353	32	3785	1476	498	529	447	1162	356
CLCA1	0	0	0	0	0	1	1	0	1	2
CLCA4	2	1	5	0	8	186	127	43	23	13
GLT8D1	1218	1880	2326	6109	3505	1707	1827	2087	2065	3682
ATP2C1	3774	3431	2916	13552	8459	11465	9033	19793	6563	21930
IGF1	12	23	16	399	403	22	85	300	183	104
SLC38A5	148	179	1566	682	1419	347	1204	438	1096	12061
RALBP1	2853	2306	3179	6884	4576	7378	2663	3019	5879	13612
RUFY3	590	996	2577	1732	1004	748	1309	1391	624	4332
CNTN1	16	34	99	7168	1470	479	933	2664	5635	7417
SLC11A1	316	918	132	4501	1392	331	1804	1427	546	1207
WWTR1	3857	2198	3394	22770	12562	4282	4645	9129	2286	2109
AGPS	1591	1985	1560	4537	4815	2963	1711	3381	3410	3521
	0	0	0	2	0	0	0	0	0	0
CXorf56	852	1216	1578	3441	1003	1509	996	2257	1420	2996
ATP1A2	134	54	43	52	409	4	77	13	13	38
TTC27	368	882	942	3201	1028	1724	735	2128	790	4393
ZNF582	100	72	60	139	132	8	114	112	58	37
VSIG2	989	1116	3075	404	1836	65	1784	66	37	303
PHLDB1	2343	1481	4021	3022	6126	1786	5485	1766	2246	3679
MARCO	124	3525	63	1937	5416	330	3482	757	241	307
CYP24A1	62	1313	3100	428	3808	230	164	61	3	79
PRDM11	635	241	637	746	649	350	1658	2098	2069	1675
SYT13	110	0	9	11	2100	8	52	929	7	16
SNAI2	111	264	94	579	2726	7991	2166	2790	3533	9231
CD74	51485	178006	271092	241780	213500	29318	137459	57096	16850	104237
HGF	306	317	118	2031	2974	21	565	233	85	754
ZRANB1	567	307	551	1478	1116	900	708	1105	1086	2622
NCDN	1001	659	2344	3431	1925	3009	1359	1537	1533	1442
ADGRA2	1427	785	384	2123	6748	239	1897	797	1948	2833
	0	1	0	0	0	0	3	0	0	1
ZFP64	863	747	655	3535	1340	2067	1011	2670	2099	7475
MNAT1	1087	587	633	1894	970	1108	876	1960	1142	1839
SAMD4A	1471	755	568	2147	2715	275	2208	338	353	2693
RUNX3	699	519	184	964	734	3376	2437	4445	1622	6262
MRE11A	1408	836	1289	1692	948	1752	1228	1500	1773	3953
PLEKHB1	442	186	1485	773	2107	169	330	181	111	331
SERPINB1	1054	12816	35124	24672	9105	3842	4029	2187	1084	4584
CYP3A43	0	3	1	2	0	6	3	1	2	5
SLC7A9	30	6	13	15	1	133	18	25	14	15
SPAST	753	812	1102	2211	1989	1632	2050	6822	3955	7508
NRXN3	1884	186	297	105	515	33	1621	2546	2864	128
OSBPL5	716	2401	2259	6096	3435	895	1285	804	1480	2201
AQR	1516	1735	2091	4764	2277	1518	2353	3680	2616	8950
CPS1	51	386	9	535	366	21	264	316	70	2016
C8B	3	62	4	7	20	1	11	3	0	1
FHL1	584	820	574	12277	6206	108	2117	750	797	2534
RTFDC1	2119	2807	4096	13329	9258	7166	3490	8414	3546	9327
GABRA1	0	0	0	0	1	0	225	0	0	0
NLRP2	309	124	667	243	840	43	136	5734	6	116
SLC45A4	1138	527	1482	4928	1074	1648	1800	1719	1711	7630
RNF10	4369	6479	8421	12708	9092	8167	6591	4888	6103	18452
ZNF839	394	316	546	1140	302	447	429	523	434	823
ZDHHC6	685	1016	1706	6234	2332	1602	913	2155	1413	3577
GRAMD1B	112	148	62	207	515	46	113	444	39	197
RNH1	1894	6890	15573	19257	14204	8354	6795	7195	10122	15208
NDUFS1	2623	2704	3615	7769	4006	3991	3243	3815	3786	7792
RB1CC1	3347	1939	2198	8348	3714	9964	3977	2670	3704	8110
ERP44	1780	2347	2978	7254	4336	5800	2835	4041	4299	5738
ALAS1	2941	1968	3340	8629	2305	1475	1854	2936	2023	5329
BIRC3	927	2002	5234	3708	3013	638	1700	1695	168	2572
AKAP11	1733	1419	1918	4362	3666	3045	1923	2060	1790	5730
GLRX2	118	259	300	1455	357	480	130	206	306	842
SNAPC1	384	355	337	1400	1435	738	824	715	989	2031
DERA	668	1244	2154	6432	2521	3380	1539	3715	6319	4252
STRAP	1947	3107	3864	20767	7159	6444	4146	18403	12824	12904
ABCC2	69	53	42	204	14	117	25	3139	13	177
DEF6	846	1128	1106	2372	883	2433	2310	1928	1170	3240
PLEKHO1	1045	2115	723	4838	4294	1507	2759	2010	3421	4061
